sigla_uf	nome_municipio	ano	ibc	cobertura_pop_4g5g	fibra	adensamento_estacoes	densidade_smp	hhi_smp	densidade_scm	hhi_scm
SE	Carmópolis	2022	63.82	100.00	100	7.22	87.47	44	9.31	81
SE	Santa Luzia do Itanhy	2022	43.89	80.46	100	2.45	19.24	31	2.42	65
BA	Canudos	2022	50.63	60.66	100	6.21	56.51	66	1.36	75
BA	Guanambi	2022	44.06	86.94	0	3.04	83.73	74	24.92	63
BA	Jandaíra	2022	33.42	82.35	0	8.97	63.15	49	1.98	49
BA	Madre de Deus	2022	67.40	100.00	100	4.50	94.75	87	9.52	80
BA	Terra Nova	2022	38.52	97.98	0	4.63	58.66	80	11.19	53
BA	Valente	2022	58.40	95.88	100	6.15	66.64	33	9.99	79
MG	Águas Formosas	2022	55.68	82.70	100	2.71	62.72	74	5.31	65
MG	Antônio Dias	2022	57.15	72.98	100	21.69	55.47	69	12.63	81
MG	Biquinhas	2022	59.52	79.34	100	34.96	68.87	11	17.70	73
MG	Cabo Verde	2022	55.23	84.17	100	8.76	64.82	23	13.31	59
MG	Congonhal	2022	64.18	94.71	100	4.51	80.91	72	17.08	76
MG	Francisco Dumont	2022	26.96	69.22	0	7.40	58.62	10	5.37	25
MG	Guaraciaba	2022	25.94	63.08	0	8.54	38.34	67	11.23	11
MG	Ibiá	2022	66.87	90.02	100	13.49	84.34	80	29.19	57
MG	Indaiabira	2022	24.39	56.62	0	15.75	41.51	11	2.48	62
MG	Japonvar	2022	48.87	88.31	100	8.20	57.08	1	0.92	29
MG	Machado	2022	65.65	96.73	100	4.86	77.32	68	25.51	82
MG	Nepomuceno	2022	59.52	90.22	100	5.33	70.73	26	19.67	79
MG	Pará de Minas	2022	69.90	99.47	100	10.98	87.01	81	31.22	71
MG	Patrocínio	2022	66.42	93.85	100	8.16	85.01	64	32.12	55
MG	Presidente Juscelino	2022	45.40	52.73	100	9.62	61.13	1	10.47	26
MG	São Geraldo do Baixio	2022	35.92	79.34	0	21.20	65.37	42	1.29	75
MG	São Vicente de Minas	2022	60.16	91.08	100	7.35	71.83	64	14.63	58
ES	Bom Jesus do Norte	2022	51.90	97.47	100	8.12	26.23	18	23.03	64
ES	Linhares	2022	65.86	93.00	100	7.69	88.06	43	26.98	77
RJ	Barra Mansa	2022	68.78	99.27	100	6.77	83.42	84	25.81	87
RJ	Cambuci	2022	54.82	84.02	100	5.70	55.23	64	10.26	59
RJ	Tanguá	2022	64.26	99.42	100	5.36	76.77	67	28.27	45
